 set,,,GENERAL INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,NAME,US TIER LIST,US,UK,CA,MX,DE,IT,ES,FR,SE,PL,NL,TR,JP,ASIN (US/CA/MX),SKU (US/CA/MX),"PRODUCT INDENTIFIER
(US/CA/MX)",FNSKU (US/CA/MX),UPC (US),UPC (CA),UPC (MX),"PRODUCT BARCODE 
(US/CA/MX)",GTIN,ASIN (UK/TR),SKU (UK),"PRODUCT INDENTIFIER
(UK)",FNSKU (UK),UPC/ EAN (UK),"PRODUCT BARCODE 
(UK)",ASIN (EU/TR),SKU (EU),"PRODUCT INDENTIFIER
(EU)",FNSKU (EU),UPC (EU),"PRODUCT BARCODE 
(EU)",ASIN (JP),"PRODUCT INDENTIFIER
(JP)",FNSKU (JP),UPC (JP),"PRODUCT BARCODE 
(JP)",CARE LABELS US,CARE LABELS CA,CARE LABELS UK,CARE LABELS EU,SHORT NAME,,UPLOADED ON AMZ,,,,,,,,,,,,,UPLOADED ON YT
24,Neck Pillow (Black),DIRT,https://www.amazon.com/dp/B06WWFYCSG,https://www.amazon.co.uk/dp/B06WWFYCSG,https://www.amazon.ca/dp/B06WWFYCSG,https://www.amazon.com.mx/dp/B06WWFYCSG,https://www.amazon.de/dp/B06WWFYCSG,https://www.amazon.it/dp/B06WWFYCSG,https://www.amazon.es/dp/B06WWFYCSG,https://www.amazon.fr/dp/B06WWFYCSG,https://www.amazon.pl/dp/B06WWFYCSG,https://www.amazon.pl/dp/B06WWFYCSG,https://www.amazon.nl/dp/B06WWFYCSG,https://www.amazon.com.tr/dp/B06WWFYCSG,https://www.amazon.co.jp/dp/B06WWFYCSG,B06WWFYCSG,EC-NPB,FNSKU,X001C9VM0V,046728408407,046728408407,046728408407,NP-Black barcode,-,B06WWFYCSG,EC-NP-UK,FNSKU,X000QPGJ6L,046728408407,EC-NP-UK barcode,B06WWFYCSG,EC-NP-UK,FNSKU,X000QPGJ6L,046728408407,EC-NP-UK barcode,,,,,,https://docs.google.com/document/d/1_2YEc_4n2WBCV3SzR2HOCVnMtHiWvI4ZqrfoCzPS8Ds/edit?usp=sharing,https://docs.google.com/document/d/1YaIVmB9n3cc0ZKfiPN4orWY2pPc9VL5pbuDbkZ-soyo/edit?usp=sharing,https://docs.google.com/document/d/1zHQ5w7Zw0ArZMnCMMugkXPaPxO0UJUrSaYtCYwCNjMg/edit?usp=sharing,-,NP-B,NP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,YES
24,Neck Pillow (Blue),DIRT,https://www.amazon.com/dp/B07TCCZ3H3,-,-,https://www.amazon.com.mx/dp/B07TCCZ3H3,-,https://www.amazon.it/dp/B07TCCZ3H3,https://www.amazon.es/dp/B07TCCZ3H3,https://www.amazon.fr/dp/B07TCCZ3H3,-,-,-,-,https://www.amazon.co.jp/dp/B07TCCZ3H3,B07TCCZ3H3,NP-BL,FNSKU,X0027UD9DH,850004566251,850004566251,850004566251,NP-Blue barcode,-,B07TCCZ3H3,NP-BL,FNSKU,X001CXIJ5Z,0850004566251,NP-BL barcode,B07TCCZ3H3,NP-BL,FNSKU,X001CXIJ5Z,0850004566251,NP-BL barcode,,,,,,https://docs.google.com/document/d/1yjEM43632O9_JD9y8gq9LxVomwPqPwkzHQEzR83rL7g/edit?usp=sharing,https://docs.google.com/document/d/1QX6lnG3QU_j7yq7VA54kS6CBNnvJnbsre8yA0bUATgc/edit?usp=sharing,https://docs.google.com/document/d/11sd3nLIodocFUgrdvsdDeNR86kqi4cAIvL0DmQpD-n4/edit?usp=sharing,-,NP-BL,NP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,
24,Neck Pillow (Red),DIRT,https://www.amazon.com/dp/B07T99PNQ3,-,-,https://www.amazon.com.mx/dp/B07T99PNQ3,-,https://www.amazon.it/dp/B07T99PNQ3,https://www.amazon.es/dp/B07T99PNQ3,https://www.amazon.fr/dp/B07T99PNQ3,-,-,-,-,https://www.amazon.co.jp/dp/B07T99PNQ3,B07T99PNQ3,NP-R,FNSKU,X0027UD6SF,"850004566268
","850004566268
","850004566268
",NP-Red barcode,-,B07T99PNQ3,NP-R,FNSKU,X001CXIJN7,0850004566268,NP-R barcode,B07T99PNQ3,NP-R,FNSKU,X001CXIJN7,0850004566268,NP-R barcode,,,,,,https://docs.google.com/document/d/1yjEM43632O9_JD9y8gq9LxVomwPqPwkzHQEzR83rL7g/edit?usp=sharing,https://docs.google.com/document/d/1QX6lnG3QU_j7yq7VA54kS6CBNnvJnbsre8yA0bUATgc/edit?usp=sharing,https://docs.google.com/document/d/11sd3nLIodocFUgrdvsdDeNR86kqi4cAIvL0DmQpD-n4/edit?usp=sharing,-,NP-R,NP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,
24,Neck Pillow (Navy Blue),DIRT,https://www.amazon.com/dp/B07T99PNS4,-,-,https://www.amazon.com.mx/dp/B07T99PNS4,-,https://www.amazon.it/dp/B07T99PNS4,https://www.amazon.es/dp/B07T99PNS4,https://www.amazon.fr/dp/B07T99PNS4,-,-,-,-,https://www.amazon.co.jp/dp/B07T99PNS4,B07T99PNS4,NP-NB,FNSKU,X0027X97XP,850004566244,850004566244,850004566244,NP-Navy Blue barcode,-,B07T99PNS4,NP-NB,FNSKU,X001CXLLIH,0850004566244,NP-NB barcode,B07T99PNS4,NP-NB,FNSKU,X001CXLLIH,0850004566244,NP-NB barcode,,,,,,https://docs.google.com/document/d/1yjEM43632O9_JD9y8gq9LxVomwPqPwkzHQEzR83rL7g/edit?usp=sharing,https://docs.google.com/document/d/1QX6lnG3QU_j7yq7VA54kS6CBNnvJnbsre8yA0bUATgc/edit?usp=sharing,https://docs.google.com/document/d/11sd3nLIodocFUgrdvsdDeNR86kqi4cAIvL0DmQpD-n4/edit?usp=sharing,-,NP-NB,NP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,
24,Neck Pillow (Gray),DIRT,https://www.amazon.com/dp/B07VGVPY8K,-,https://www.amazon.ca/dp/B07VGVPY8K,https://www.amazon.com.mx/dp/B07VGVPY8K,-,https://www.amazon.it/dp/B07VGVPY8K,https://www.amazon.es/dp/B07VGVPY8K,https://www.amazon.fr/dp/B07VGVPY8K,-,-,-,-,https://www.amazon.co.jp/dp/B07VGVPY8K,B07VGVPY8K,NP-G,FNSKU,X0029386KN,850004566312,850004566312,850004566312,NP-Gray barcode,-,B07VGVPY8K,NP-G,FNSKU,X001CXK9KD,0850004566312,NP-G barcode,B07VGVPY8K,NP-G,FNSKU,X001CXK9KD,0850004566312,NP-G barcode,,,,,,https://docs.google.com/document/d/1yjEM43632O9_JD9y8gq9LxVomwPqPwkzHQEzR83rL7g/edit?usp=sharing,https://docs.google.com/document/d/1QX6lnG3QU_j7yq7VA54kS6CBNnvJnbsre8yA0bUATgc/edit?usp=sharing,https://docs.google.com/document/d/11sd3nLIodocFUgrdvsdDeNR86kqi4cAIvL0DmQpD-n4/edit?usp=sharing,-,NP-G,NP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,
25,Neck Pillow Gel Infused ,DIRT,https://www.amazon.com/dp/B07JN8XJ7Q,-,https://www.amazon.ca/dp/B07JN8XJ7Q,https://www.amazon.com.mx/dp/B07JN8XJ7Q,-,https://www.amazon.it/dp/B07JN8XJ7Q,https://www.amazon.es/dp/B07JN8XJ7Q,https://www.amazon.fr/dp/B07JN8XJ7Q,-,-,-,https://www.amazon.com.tr/dp/B07JN8XJ7Q,https://www.amazon.co.jp/dp/B07JN8XJ7Q,B07JN8XJ7Q,NP-GI,FNSKU,X001XNTX25,860336002594,860336002594,860336002594,NP-Gel barcode,-,B07JN8XJ7Q,860336002594,FNSKU,X001D1YEPF,860336002594,860336002594 barcode,B07JN8XJ7Q,NP-GI,FNSKU,X001CXC05F,860336002594,NP-GI barcode,,,,,,https://docs.google.com/document/d/1LUzdIchkx2YF1zU4CI3P6xj7Y5NYVF_xvdgqDmH2z4U/edit?usp=sharing,https://docs.google.com/document/d/1mYXmfMatuNi8h2Kvx2-a8iQwXE-q_ORJL57HCz9jokU/edit?usp=sharing,https://docs.google.com/document/d/1KhHONJQSbDjMDx_KfrBh41YliHI5W381EiWhPng4pOQ/edit?usp=sharing,-,NP-GI,NP-GI,YES,-,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,NO
26,Everlasting Comfort Sleep Mask Travel Kit,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SM,SM,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,"Seat Cushion & 
Foot Rest Pillow",,https://www.amazon.com/dp/B0882QS8KR,-,-,-,-,-,-,-,-,-,-,-,-,B0882QS8KR,SC-FRP-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SC&FRP,SC&FRP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
28,Seat Cushion & Back Cushion & Wedge Cushion,,https://www.amazon.com/dp/B08B8QVXKK,-,-,-,-,-,-,-,-,-,-,-,-,B08B8QVXKK,WC-BC-SC-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SC&BC&WC,SC&BC&WC,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
29,"Back Cushion&
Wedge Cushion",,https://www.amazon.com/dp/B08B6F2DXJ,-,-,-,-,-,-,-,-,-,-,-,-,B08B6F2DXJ,WC-BC-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&WC,BC&WC,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
30,"Back Cushion & 
Knee, Foot Rest Pillows",,https://www.amazon.com/dp/B08B8SHRCN,-,-,-,-,-,-,-,-,-,-,-,-,B08B8SHRCN,KP-BC-FRP-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&KP&FRP,BC&KP&FRP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
31,Back Cushion & Seat Cushion Gel Infused,BRONZE,https://www.amazon.com/dp/B07JQ2V33Q,https://www.amazon.co.uk/dp/B07JQ2V33Q,https://www.amazon.ca/dp/B07JQ2V33Q,https://www.amazon.com.mx/dp/B07JQ2V33Q,https://www.amazon.de/dp/B07JQ2V33Q,https://www.amazon.it/dp/B07JQ2V33Q,https://www.amazon.es/dp/B07JQ2V33Q,https://www.amazon.fr/dp/B07JQ2V33Q,https://www.amazon.pl/dp/B07JQ2V33Q,https://www.amazon.pl/dp/B07JQ2V33Q,https://www.amazon.nl/dp/B07JQ2V33Q,https://www.amazon.com.tr/dp/B07JQ2V33Q,https://www.amazon.co.jp/dp/B07JQ2V33Q,B07JQ2V33Q,SCBC,FNSKU,X001XO6RZF,860336002549,860336002549,860336002549,SCBC barcode,-,B07JQ2V33Q,SCBC,FNSKU,X0016MRVYH,860336002549,SCBC barcode,B07JQ2V33Q,SCBC,FNSKU,X0016MRVYH,860336002549,SCBC barcode,,,,,,-,-,-,-,SCBC,SCBC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
32,Seat Cushion&Back Cushion&Foot Rest Pillow,,https://www.amazon.com/dp/B08B8RGGHH,-,-,-,-,-,-,-,-,-,-,-,-,B08B8RGGHH,SC-BC-FRP-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SC&BC&FRP,SC&BC&FRP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
33,"Back Cushion & 
Foot Rest Pillow",,https://www.amazon.com/dp/B0882Z4MK9,-,-,-,-,-,-,-,-,-,-,-,-,B0882Z4MK9,BC-FRP-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&FRP,BC&FRP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
34,Gel Infused Seat Cushion&Back Cushion&Foot Rest Pillow,,https://www.amazon.com/dp/B08B8QMF8T,-,-,-,-,-,-,-,-,-,-,-,-,B08B8QMF8T,SCGI-BC-FRP-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SC-GI&BC&FRP,SC-GI&BC&FRP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
35,"Back Cushion&
Half Moon Pillow",,https://www.amazon.com/dp/B08B8PDDCS,-,-,-,-,-,-,-,-,-,-,-,-,B08B8PDDCS,HMP-BC-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&HMP,BC&HMP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
36,Back Cushion&Knee Pillow,,https://www.amazon.com/dp/B08B8MF9Y6,-,-,-,-,-,-,-,-,-,-,-,-,B08B8MF9Y6,KP-BC-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&KP,BC&KP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
37,"Oil Diffuser&
LumiLux Toilet Light",,https://www.amazon.com/dp/B0887VJZPW,-,-,-,-,-,-,-,-,-,-,-,-,B0887VJZPW,"	
ODD-TL-BDL",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,OD&LTL,OD&LTL,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
38,Back Cushion&Knee Pillow&Half Moon Pillow,,https://www.amazon.com/dp/B08B8R2KWX,-,-,-,-,-,-,-,-,-,-,-,-,B08B8R2KWX,KP-BC-HMP-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&KP&HMP,BC&KP&HMP,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
39,Back Cushion&Knee Pillow&Seat Cushion,,https://www.amazon.com/dp/B08B8T3SRB,-,-,-,-,-,-,-,-,-,-,-,-,B08B8T3SRB,KP-BC-SC-BDL,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BC&KP&SC,BC&KP&SC,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
40,Boot Dryer Warmer (2 pair),PLATINUM,https://www.amazon.com/dp/B08V3L68YN,-,-,-,-,-,-,-,-,-,-,-,-,B08V3L68YN,BD,UPC,B08V3L68YN,850004566909,850004566909,850004566909,BD-2pair barcode,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,BD,BD,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
41,Automatic Soap Dispenser,PLATINUM,https://www.amazon.com/dp/B0851V4Z6Z,https://www.amazon.co.uk/dp/B0851V4Z6Z,https://www.amazon.ca/dp/B0851V4Z6Z,https://www.amazon.com.mx/dp/B0851V4Z6Z,https://www.amazon.de/dp/B0851V4Z6Z,https://www.amazon.it/dp/B0851V4Z6Z,https://www.amazon.es/dp/B0851V4Z6Z,https://www.amazon.fr/dp/B0851V4Z6Z,-,-,-,-,https://www.amazon.co.jp/dp/B0851V4Z6Z,B0851V4Z6Z,TSD-S,FNSKU,X002GZGR4B,850004566602,850004566602,850004566602,TSD-Silver barcode,00850004566602,B0851V4Z6Z,TSD-S,UPC,-,850004566602,TSD-S barcode,B0851V4Z6Z,TSD-S,UPC,B0851V4Z6Z,0850004566602,TSD-S barcode,,,,,,-,-,-,-,TSD,TSD,YES,NO,-,NO,NO,NO,NO,NO,-,-,-,-,NO,NO
42,"Ultrasonic Humidifier (6L), White",PLATINUM,https://www.amazon.com/dp/B074MP9DK2,https://www.amazon.co.uk/dp/B074MP9DK2,https://www.amazon.ca/dp/B074MP9DK2,-,-,https://www.amazon.it/dp/B074MP9DK2,https://www.amazon.es/dp/B074MP9DK2,https://www.amazon.fr/dp/B074MP9DK2,-,-,-,https://www.amazon.com.tr/dp/B074MP9DK2,https://www.amazon.co.jp/dp/B074MP9DK2,B074MP9DK2,6W-ZAVK-G48U,FNSKU,X001J7KIEH,046728408308,046728408308,046728408308,HUM-White barcode,00810062780426,B074MP9DK2,6W-ZAVK-G48U,FNSKU,X001CWR7TF,046728408308,6W-ZAVK-G48U barcode,B074MP9DK2,6W-ZAVK-G48U,FNSKU,X001CWR7TF,046728408308,6W-ZAVK-G48U barcode,,,,,,-,-,-,-,HUM-W,HUM (6L),YES,-,NO,-,NO,NO,NO,NO,-,-,-,NO,NO,YES
42,"Ultrasonic Humidifier (6L), Black",PLATINUM,https://www.amazon.com/dp/B077Z2QCS5,https://www.amazon.co.uk/dp/B077Z2QCS5,https://www.amazon.ca/dp/B077Z2QCS5,-,-,https://www.amazon.it/dp/B077Z2QCS5,https://www.amazon.es/dp/B077Z2QCS5,https://www.amazon.fr/dp/B077Z2QCS5,-,-,-,https://www.amazon.com.tr/dp/B077Z2QCS5,-,B077Z2QCS5,EH-Black,FNSKU,"
X001NCZ073",046728408445,046728408445,046728408445,HUM-Black barcode,00810062780532,B077Z2QCS5,EH-Black,FNSKU,X001CXK86N,046728408445,EH-Black barcode,B077Z2QCS5,EH-Black,FNSKU,X001CXK86N,046728408445,EH-Black barcode,,,,,,-,-,-,-,HUM-B,,YES,-,NO,-,NO,NO,NO,NO,-,-,-,NO,-,YES
43,Ultrasonic Humidifier (4L),PLATINUM,https://www.amazon.com/dp/B08431MG7M,https://www.amazon.co.uk/dp/B08431MG7M,https://www.amazon.ca/dp/B08431MG7M,https://www.amazon.com.mx/dp/B08431MG7M,https://www.amazon.de/dp/B08431MG7M,https://www.amazon.it/dp/B08431MG7M,https://www.amazon.es/dp/B08431MG7M,https://www.amazon.fr/dp/B08431MG7M,-,-,-,-,https://www.amazon.co.jp/dp/B08431MG7M,B08431MG7M,S-Hum,FNSKU,X002G186XF,850004566329,850004566329,850004566329,S-Hum barcode,00810062780945,B08431MG7M,S-Hum,FNSKU,-,-,-,B08431MG7M,S-Hum,FNSKU,X001CXFHWD,850004566329,S-Hum barcode,,,,,,-,-,-,-,S-HUM ,HUM (4L),YES,-,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,NO
44,Oil Diffuser Dark Wood,BRONZE,https://www.amazon.com/dp/B074QGWYHX,-,https://www.amazon.ca/dp/B074QGWYHX,-,-,-,-,-,-,-,-,-,-,B074QGWYHX,EC-ODD,FNSKU,X001JBH61V,046728408315,046728408315,046728408315,ODD barcode,00810062780433,B074QGWYHX,EC-ODD,UPC,-,046728408315,,,-,-,-,-,,,,,,,-,-,-,-,ODD,OD,YES,-,NO,-,-,-,-,-,-,-,-,-,-,YES
44,Oil Diffuser Light Wood,BRONZE,https://www.amazon.com/dp/B074QH7DWM,https://www.amazon.co.uk/dp/B074QH7DWM,https://www.amazon.ca/dp/B074QH7DWM,https://www.amazon.com.mx/dp/B074QH7DWM,-,https://www.amazon.it/dp/B074QH7DWM,https://www.amazon.es/dp/B074QH7DWM,-,-,-,-,-,-,B074QH7DWM,EC-ODL,FNSKU,X001JBGW2P,046728408322,046728408322,046728408322,ODL barcode,00810062780440,B074QH7DWM,EC-ODL,FNSKU,X001CXLLB9,046728408322,EC-ODL barcode,B074QH7DWM,EC-ODL,FNSKU,X001CXLLB9,046728408322,EC-ODL barcode,,,,,,-,-,-,-,ODL,OD,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,-,NO,YES
45,Essential Oils ,DIRT,https://www.amazon.com/dp/B092MSPF63,-,-,-,-,-,-,-,-,-,-,-,-,B092MSPF63,EOS,FNSKU,X002XFWR0R,850004566923,850004566923,850004566923,EOS barcode,00850004566923,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,https://www.dropbox.com/sh/n417b7xrehk3fqa/AAC1q3EefNzhHlxZpJ5yCMW1a?dl=0,EOK,NO,-,-,-,-,-,-,-,-,-,-,-,-,NO
46,Throw Blanket Artic Blue,PLATINUM,https://www.amazon.com/dp/B0851TMQN8,https://www.amazon.co.uk/dp/B0851TMQN8,https://www.amazon.ca/dp/B0851TMQN8,https://www.amazon.com.mx/dp/B0851TMQN8,https://www.amazon.de/dp/B0851TMQN8,https://www.amazon.it/dp/B0851TMQN8,https://www.amazon.es/dp/B0851TMQN8,https://www.amazon.fr/dp/B0851TMQN8,https://www.amazon.pl/dp/B0851TMQN8,https://www.amazon.pl/dp/B0851TMQN8,https://www.amazon.nl/dp/B0851TMQN8,https://www.amazon.com.tr/dp/B0851TMQN8,https://www.amazon.co.jp/dp/B0851TMQN8,B0851TMQN8,TB-AB,FNSKU,X002GZ882Z,850004566565,850004566565,850004566565,TB-Arctic Blue barcode,00810062781126,B0851TMQN8,TB-AB,FNSKU,X0017ELRMV,850004566565,TB-AB barcode,B0851TMQN8,TB-AB,FNSKU,X0017ELRMV,850004566565,TB-AB barcode,,,,,,https://docs.google.com/document/d/1if0xnygekCtF5EpsZr9P_HUTzC7Yty9Pd_U2wsys0r8/edit?usp=sharing,https://docs.google.com/document/d/1PS_vF8knnD6stktQEgegooCHIcPNJrE9zdMjCbCvbQo/edit?usp=sharing,https://docs.google.com/document/d/1LSw95pWLLFMGTZj79gcgSLnjWWida_7a30qmWmNOJ2I/edit?usp=sharing,-,TB-AB,TB,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
46,Throw Blanket Black,PLATINUM,https://www.amazon.com/dp/B0851TC6H8,https://www.amazon.co.uk/dp/B0851TC6H8,https://www.amazon.ca/dp/B0851TC6H8,https://www.amazon.com.mx/dp/B0851TC6H8,https://www.amazon.de/dp/B0851TC6H8,https://www.amazon.it/dp/B0851TC6H8,https://www.amazon.es/dp/B0851TC6H8,https://www.amazon.fr/dp/B0851TC6H8,https://www.amazon.pl/dp/B0851TC6H8,https://www.amazon.pl/dp/B0851TC6H8,https://www.amazon.nl/dp/B0851TC6H8,https://www.amazon.com.tr/dp/B0851TC6H8,https://www.amazon.co.jp/dp/B0851TC6H8,B0851TC6H8,TB-B,FNSKU,X002GZIDDT,850004566558,850004566558,850004566558,TB-Black barcode,00810062781133,B0851TC6H8,TB-B,FNSKU,X00176N4PR,850004566558,TB-B barcode,B0851TC6H8,TB-B,FNSKU,X00176N4PR,850004566558,TB-B barcode,,,,,,https://docs.google.com/document/d/15l4Gal8fRTpvsXSB8OlvgCMx4x1zsXMUZKa_dJjt0tM/edit?usp=sharing,https://docs.google.com/document/d/1pyx4CsjCqZbtvXrxaXtDbyx9AKygqkmWHhOVhePfPm4/edit?usp=sharing,https://docs.google.com/document/d/1Z8KX_aazqjYeQEY2KHb39wiNPTSaLGMhr-0Ku6wVA9s/edit?usp=sharing,-,TB-B,TB,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
46,Throw Blanket Chocolate,PLATINUM,https://www.amazon.com/dp/B0851T2KN9,https://www.amazon.co.uk/dp/B0851T2KN9,https://www.amazon.ca/dp/B0851T2KN9,https://www.amazon.com.mx/dp/B0851T2KN9,https://www.amazon.de/dp/B0851T2KN9,https://www.amazon.it/dp/B0851T2KN9,https://www.amazon.es/dp/B0851T2KN9,https://www.amazon.fr/dp/B0851T2KN9,https://www.amazon.pl/dp/B0851T2KN9,https://www.amazon.pl/dp/B0851T2KN9,https://www.amazon.nl/dp/B0851T2KN9,https://www.amazon.com.tr/dp/B0851T2KN9,https://www.amazon.co.jp/dp/B0851T2KN9,B0851T2KN9,TB-C,FNSKU,X002GZIDDJ,850004566534,850004566534,850004566534,TB-Chocolate barcode,00810062781140,B0851T2KN9,TB-C,FNSKU,X00176O8RF,850004566534,TB-C barcode,B0851T2KN9,TB-C,FNSKU,X00176O8RF,850004566534,TB-C barcode,,,,,,https://docs.google.com/document/d/15l4Gal8fRTpvsXSB8OlvgCMx4x1zsXMUZKa_dJjt0tM/edit?usp=sharing,https://docs.google.com/document/d/1pyx4CsjCqZbtvXrxaXtDbyx9AKygqkmWHhOVhePfPm4/edit?usp=sharing,https://docs.google.com/document/d/1Z8KX_aazqjYeQEY2KHb39wiNPTSaLGMhr-0Ku6wVA9s/edit?usp=sharing,-,TB-C,TB,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
46,Throw Blanket Dark Red,PLATINUM,https://www.amazon.com/dp/B0851SQ83K,https://www.amazon.co.uk/dp/B0851SQ83K,https://www.amazon.ca/dp/B0851SQ83K,https://www.amazon.com.mx/dp/B0851SQ83K,https://www.amazon.de/dp/B0851SQ83K,https://www.amazon.it/dp/B0851SQ83K,https://www.amazon.es/dp/B0851SQ83K,https://www.amazon.fr/dp/B0851SQ83K,https://www.amazon.pl/dp/B0851SQ83K,https://www.amazon.pl/dp/B0851SQ83K,https://www.amazon.nl/dp/B0851SQ83K,https://www.amazon.com.tr/dp/B0851SQ83K,https://www.amazon.co.jp/dp/B0851SQ83K,B0851SQ83K,TB-R,FNSKU,X002GZFHI3,850004566572,850004566572,850004566572,TB-Dark Red barcode,00810062781157,B0851SQ83K,TB-R,FNSKU,X0017ELSGL,850004566572,TB-R barcode,B0851SQ83K,TB-R,FNSKU,X0017ELSGL,850004566572,TB-R barcode,,,,,,https://docs.google.com/document/d/15l4Gal8fRTpvsXSB8OlvgCMx4x1zsXMUZKa_dJjt0tM/edit?usp=sharing,https://docs.google.com/document/d/1pyx4CsjCqZbtvXrxaXtDbyx9AKygqkmWHhOVhePfPm4/edit?usp=sharing,https://docs.google.com/document/d/1Z8KX_aazqjYeQEY2KHb39wiNPTSaLGMhr-0Ku6wVA9s/edit?usp=sharing,-,TB-DR,TB,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
46,Throw Blanket Gray,PLATINUM,https://www.amazon.com/dp/B0851TFRNN,https://www.amazon.co.uk/dp/B0851TFRNN,https://www.amazon.ca/dp/B0851TFRNN,https://www.amazon.com.mx/dp/B0851TFRNN,https://www.amazon.de/dp/B0851TFRNN,https://www.amazon.it/dp/B0851TFRNN,https://www.amazon.es/dp/B0851TFRNN,https://www.amazon.fr/dp/B0851TFRNN,https://www.amazon.pl/dp/B0851TFRNN,https://www.amazon.pl/dp/B0851TFRNN,https://www.amazon.nl/dp/B0851TFRNN,https://www.amazon.com.tr/dp/B0851TFRNN,https://www.amazon.co.jp/dp/B0851TFRNN,B0851TFRNN,TB-G,FNSKU,X002GZFHHJ,850004566510,850004566510,850004566510,TB-Gray barcode,00810062781164,B0851TFRNN,TB-G,FNSKU,X00176O8ZH,850004566510,TB-G barcode,B0851TFRNN,TB-G,FNSKU,X00176O8ZH,850004566510,TB-G barcode,,,,,,https://docs.google.com/document/d/15l4Gal8fRTpvsXSB8OlvgCMx4x1zsXMUZKa_dJjt0tM/edit?usp=sharing,https://docs.google.com/document/d/1pyx4CsjCqZbtvXrxaXtDbyx9AKygqkmWHhOVhePfPm4/edit?usp=sharing,https://docs.google.com/document/d/1Z8KX_aazqjYeQEY2KHb39wiNPTSaLGMhr-0Ku6wVA9s/edit?usp=sharing,-,TB-G,TB,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
